indicateur,sexe,x,L,M,S
wfa,1,0.0,0.3487,3.3464,0.14602
wfa,1,1.0,0.2297,4.4709,0.13395
wfa,1,2.0,0.197,5.5675,0.12385
wfa,1,3.0,0.1738,6.3762,0.11727
wfa,1,4.0,0.1553,7.0023,0.11316
wfa,1,5.0,0.1395,7.5105,0.1108
wfa,1,6.0,0.1257,7.934,0.10958
wfa,1,7.0,0.1134,8.297,0.10902
wfa,1,8.0,0.1021,8.6151,0.10882
wfa,1,9.0,0.0917,8.9014,0.10881
wfa,1,10.0,0.082,9.1649,0.10891
wfa,1,11.0,0.073,9.4122,0.10906
wfa,1,12.0,0.0644,9.6479,0.10925
wfa,1,13.0,0.0563,9.8749,0.10949
wfa,1,14.0,0.0487,10.0953,0.10976
wfa,1,15.0,0.0413,10.3108,0.11007
wfa,1,16.0,0.0343,10.5228,0.11041
wfa,1,17.0,0.0275,10.7319,0.11079
wfa,1,18.0,0.0211,10.9385,0.11119
wfa,1,19.0,0.0148,11.143,0.11164
wfa,1,20.0,0.0087,11.3462,0.11211
wfa,1,21.0,0.0029,11.5486,0.11261
wfa,1,22.0,-0.0028,11.7504,0.11314
wfa,1,23.0,-0.0083,11.9514,0.11369
wfa,1,24.0,-0.0137,12.1515,0.11426
wfa,1,25.0,-0.0189,12.3502,0.11485
wfa,1,26.0,-0.024,12.5466,0.11544
wfa,1,27.0,-0.0289,12.7401,0.11604
wfa,1,28.0,-0.0337,12.9303,0.11664
wfa,1,29.0,-0.0385,13.1169,0.11723
wfa,1,30.0,-0.0431,13.3,0.11781
wfa,1,31.0,-0.0476,13.4798,0.11839
wfa,1,32.0,-0.052,13.6567,0.11896
wfa,1,33.0,-0.0564,13.8309,0.11953
wfa,1,34.0,-0.0606,14.0031,0.12008
wfa,1,35.0,-0.0648,14.1736,0.12062
wfa,1,36.0,-0.0689,14.3429,0.12116
wfa,1,37.0,-0.0729,14.5113,0.12168
wfa,1,38.0,-0.0769,14.6791,0.1222
wfa,1,39.0,-0.0808,14.8466,0.12271
wfa,1,40.0,-0.0846,15.014,0.12322
